AL122011,KATIA,64,
20110828,0000,,LO,9.5,-19.0,20,1012,0,0,0,0,0,0,0,0,0,0,0,0,
20110828,0600,,LO,9.4,-20.3,20,1011,0,0,0,0,0,0,0,0,0,0,0,0,
20110828,1200,,LO,9.3,-21.6,25,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20110828,1800,,LO,9.3,-22.9,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20110829,0000,,LO,9.3,-24.2,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20110829,0600,,TD,9.5,-25.6,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20110829,1200,,TD,9.9,-27.0,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20110829,1800,,TD,10.6,-28.2,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20110830,0000,,TS,11.0,-29.6,35,1006,30,0,0,30,0,0,0,0,0,0,0,0,
20110830,0600,,TS,11.5,-31.1,40,1004,30,0,0,30,0,0,0,0,0,0,0,0,
20110830,1200,,TS,12.0,-32.9,45,1001,40,30,0,50,0,0,0,0,0,0,0,0,
20110830,1800,,TS,12.6,-34.6,50,997,50,40,20,60,20,0,0,20,0,0,0,0,
20110831,0000,,TS,13.1,-36.4,50,997,60,40,20,70,20,0,0,20,0,0,0,0,
20110831,0600,,TS,13.6,-38.2,55,994,70,40,20,80,25,0,0,25,0,0,0,0,
20110831,1200,,TS,14.0,-40.0,55,994,90,50,30,90,30,15,0,30,0,0,0,0,
20110831,1800,,TS,14.4,-41.8,60,990,100,65,40,110,40,20,0,40,0,0,0,0,
20110901,0000,,HU,14.8,-43.5,65,988,110,80,50,110,50,40,0,50,20,0,0,20,
20110901,0600,,HU,15.1,-45.2,65,988,120,90,50,110,50,40,0,50,20,0,0,20,
20110901,1200,,HU,15.3,-46.9,65,988,130,100,50,120,60,40,0,60,30,0,0,30,
20110901,1800,,HU,15.7,-48.5,65,988,140,110,50,120,60,40,0,60,30,0,0,30,
20110902,0000,,HU,16.2,-50.0,65,988,140,120,50,120,70,60,0,70,30,0,0,30,
20110902,0600,,HU,16.8,-51.2,65,988,150,120,50,120,70,60,0,70,30,0,0,30,
20110902,1200,,HU,17.4,-52.1,65,987,150,120,60,120,70,50,40,70,30,0,0,0,
20110902,1800,,HU,18.0,-53.0,65,987,150,120,70,120,70,50,40,70,30,0,0,0,
20110903,0000,,HU,18.4,-53.9,65,987,150,120,70,120,70,50,40,70,30,0,0,0,
20110903,0600,,HU,18.8,-54.7,65,987,150,120,70,120,70,50,40,70,30,0,0,0,
20110903,1200,,HU,19.4,-55.4,65,986,150,120,70,120,70,50,40,70,30,0,0,0,
20110903,1800,,HU,19.9,-56.2,65,982,150,120,70,120,70,50,40,60,30,0,0,0,
20110904,0000,,HU,20.4,-57.1,70,978,150,120,70,120,70,50,40,60,30,0,0,0,
20110904,0600,,HU,21.1,-57.9,75,969,150,120,70,120,70,50,40,60,30,20,0,30,
20110904,1200,,HU,21.7,-58.8,85,961,150,120,80,120,70,50,40,60,40,30,15,30,
20110904,1800,,HU,22.3,-59.7,90,959,150,120,80,120,70,50,40,60,40,40,20,30,
20110905,0000,,HU,23.0,-60.6,90,957,150,120,90,130,70,50,40,60,40,40,20,30,
20110905,0600,,HU,23.6,-61.6,95,954,160,120,90,130,70,60,50,60,40,40,30,40,
20110905,1200,,HU,24.2,-62.6,100,950,170,120,100,140,80,70,60,70,50,50,40,50,
20110905,1800,,HU,24.8,-63.4,110,946,180,120,100,140,80,70,60,70,50,50,40,50,
20110906,0000,,HU,25.6,-64.0,120,942,180,120,110,140,80,70,60,70,50,50,40,50,
20110906,0600,,HU,26.2,-64.8,115,946,180,120,110,140,80,70,60,70,50,50,40,50,
20110906,1200,,HU,26.7,-65.6,105,954,180,120,110,140,90,80,70,70,60,55,40,50,
20110906,1800,,HU,27.3,-66.2,95,959,180,125,120,140,90,90,80,70,60,60,40,50,
20110907,0000,,HU,27.7,-66.9,85,964,180,130,120,150,100,90,80,70,60,60,40,50,
20110907,0600,,HU,28.2,-67.6,85,967,180,140,120,150,100,90,80,70,70,50,40,50,
20110907,1200,,HU,28.8,-68.4,80,969,180,150,120,160,110,90,80,80,70,50,40,50,
20110907,1800,,HU,29.4,-69.3,80,969,180,160,120,170,120,100,80,85,70,50,40,50,
20110908,0000,,HU,30.3,-69.9,80,968,190,170,150,180,130,100,80,90,70,60,40,60,
20110908,0600,,HU,31.5,-70.1,80,967,200,180,150,180,140,110,90,100,80,60,40,70,
20110908,1200,,HU,32.8,-70.2,80,966,200,180,150,180,140,110,90,100,80,60,40,70,
20110908,1800,,HU,34.1,-70.0,80,965,200,190,180,160,130,120,90,100,70,60,40,60,
20110909,0000,,HU,35.6,-69.4,80,964,200,200,180,160,120,120,100,100,60,60,40,50,
20110909,0600,,HU,37.1,-68.4,75,963,200,210,150,160,120,120,100,100,55,55,45,50,
20110909,1200,,HU,38.5,-67.1,75,961,200,220,160,160,110,130,110,100,55,55,45,50,
20110909,1800,,HU,39.8,-64.6,75,960,200,220,190,160,110,140,110,100,50,60,50,50,
20110910,0000,,HU,41.0,-60.5,75,958,200,230,220,160,100,150,120,100,50,60,60,50,
20110910,0600,,HU,42.2,-56.1,75,956,200,250,250,160,100,160,145,100,50,70,70,50,
20110910,1200,,EX,43.5,-50.6,75,954,200,270,270,160,90,170,170,100,50,70,70,50,
20110910,1800,,EX,45.4,-43.7,75,954,200,270,270,160,90,170,170,100,50,70,70,50,
20110911,0000,,EX,47.3,-37.2,70,957,200,270,270,160,90,170,170,100,50,70,70,50,
20110911,0600,,EX,49.1,-31.3,70,960,200,270,270,160,90,170,170,100,50,70,70,50,
20110911,1200,,EX,51.1,-26.0,60,964,200,270,270,160,90,170,170,100,0,0,0,0,
20110911,1800,,EX,52.8,-21.1,60,966,200,270,270,160,90,170,170,100,0,0,0,0,
20110912,0000,,EX,54.7,-16.3,60,968,200,270,270,160,90,170,170,100,0,0,0,0,
20110912,0600,,EX,56.2,-11.6,60,970,200,270,270,160,90,170,170,100,0,0,0,0,
20110912,1200,,EX,58.0,-7.0,60,972,200,270,270,160,90,170,170,100,0,0,0,0,
20110912,1800,,EX,59.5,-0.0,60,974,200,270,270,160,90,170,170,100,0,0,0,0,
